12:02:46.597 |V| JetEnvironment                | .NET TP Worker:5   | JetEnvironment is initiating startup.
12:02:46.708 |V| JetScheduler                  | JetPool Manager:11 | Thread 'JetPool Manager' started
12:02:46.708 |V| ShellLocks                    | :1                 | ShellLocks.Task.Scheduler.Implementation is <NULL>. Use $JetBrains.Application.Threading.Tasks.Scheduler.JetScheduler
12:02:46.725 |V| ThreadManagementUnit(S)       | :1                 | Short Tasks: starting executor JetPool(S) #1
12:02:46.726 |V| ThreadManagementUnit(S)       | :1                 | Short Tasks: starting executor JetPool(S) #2
12:02:46.728 |V| JetScheduler                  | JetPool(S) #2:13   | Thread 'JetPool(S) #2' started execution in unit 'Short Tasks'. #allExecutors=2, #freeExecutors=0
12:02:46.728 |V| JetScheduler                  | JetPool(S) #1:12   | Thread 'JetPool(S) #1' started execution in unit 'Short Tasks'. #allExecutors=2, #freeExecutors=0
12:02:46.740 |V| JetHostParametersCaller       | JetPool(S) #1:12   | Commencing InitHost phase.
12:02:46.753 |V| JetHostParametersCaller       | JetPool(S) #1:12   | Running host init stage for priority -29999 with 1 mixins on this stage.
12:02:46.789 |V| JetHostParametersCaller       | JetPool(S) #1:12   | Running host init stage for priority PumpOutLeftovers with 1 mixins on this stage.
12:02:46.789 |V| JetHostParametersCaller       | JetPool(S) #1:12   | Running host init stage for priority Native with 3 mixins on this stage.
12:02:46.793 |V| ThreadManagementUnit(S)       | JetPool Manager:11 | All threads are busy. Adding new thread to the pool
12:02:46.793 |V| ThreadManagementUnit(S)       | JetPool Manager:11 | Short Tasks: starting executor JetPool(S) #3
12:02:46.793 |V| JetScheduler                  | JetPool(S) #3:14   | Thread 'JetPool(S) #3' started execution in unit 'Short Tasks'. #allExecutors=3, #freeExecutors=0
12:02:46.798 |V| JetHostParametersCaller       | JetPool(S) #1:12   | Running host init stage for priority HighPriority with 1 mixins on this stage.
12:02:46.800 |V| JetHostParametersCaller       | JetPool(S) #1:12   | HostInit phase completed.
12:02:46.801 |V| JetHostParametersCaller       | JetPool(S) #1:12   | <Measured> "Host initialization"  time=60ms
12:02:46.811 |V| LoadedDeployedPackages        | JetPool(S) #1:12   | Initiating Deployed Package discovery for bindir /home/marek/.gradle/caches/9.4.1/transforms/53a20199471e8c443d6af9b82e05c9aa/transformed/JetBrains.Rider-2026.1/lib/ReSharperHost.
12:02:46.814 |V| LoadedDeployedPackages        | JetPool(S) #1:12   | Scanning folder /home/marek/.gradle/caches/9.4.1/transforms/53a20199471e8c443d6af9b82e05c9aa/transformed/JetBrains.Rider-2026.1/lib/ReSharperHost for Deployed Packages. Picking nugets? True!
