# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookupDuration90PMs,1777024965382000000,1777025025410000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1777024965382000000,1777025025410000000,0
Indexes.stubs.lookups,1777024965382000000,1777025025410000000,0
Indexes.entries.lookupDuration90PMs,1777024965382000000,1777025025410000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1777024965382000000,1777025025410000000,0
Indexing.cache.totalCacheMisses,1777024965382000000,1777025025410000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1777024965382000000,1777025025410000000,0
Indexing.cache.totalCacheEvicted,1777024965382000000,1777025025410000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1777024965382000000,1777025025410000000,0
Indexes.allKeys.lookupDuration90PMs,1777024965382000000,1777025025410000000,0.0
Indexing.writesQueuedMin,1777024965382000000,1777025025410000000,9223372036854775807
Indexes.allKeys.lookupDurationMaxMs,1777024965382000000,1777025025410000000,0.0
Indexes.stubs.lookupDurationAvgMs,1777024965382000000,1777025025410000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1777024965382000000,1777025025410000000,0.0
Indexing.totalTimeIndexersSleptMs,1777024965382000000,1777025025410000000,0
Indexing.writesQueuedMax,1777024965382000000,1777025025410000000,0
Indexes.entries.lookupDurationAvgMs,1777024965382000000,1777025025410000000,0.0
Indexes.allKeys.lookups,1777024965382000000,1777025025410000000,0
Indexes.stubs.lookupDurationMaxMs,1777024965382000000,1777025025410000000,0.0
Indexes.entries.lookupDurationMaxMs,1777024965382000000,1777025025410000000,0.0
Indexes.entries.lookups,1777024965382000000,1777025025410000000,1
Indexing.cache.totalCacheAccesses,1777024965382000000,1777025025410000000,0
VFS.contentStorage.recordsReadDecompressed,1777024965382000000,1777025025410000000,0
VFS.contentStorage.recordsReadSize,1777024965382000000,1777025025410000000,0
FileNameCache.queries,1777024965382000000,1777025025410000000,3008
VFS.fileByIdCache.misses,1777024965382000000,1777025025410000000,0
VFS.contentStorage.recordsDeduplicated,1777024965382000000,1777025025410000000,0
VFS.contentStorage.recordsStored,1777024965382000000,1777025025410000000,27
VFS.rootsCount,1777024965382000000,1777025025410000000,3.0
VFS.contentStorage.recordsRead,1777024965382000000,1777025025410000000,0
VFS.contentStorage.recordsUncompressedSize,1777024965382000000,1777025025410000000,38945
VFS.cache.segmentsCreated,1777024965382000000,1777025025410000000,1
VFS.cache.directoriesCreated,1777024965382000000,1777025025410000000,29
VFS.cache.segments,1777024965382000000,1777025025410000000,1.0
FileNameCache.totalMisses,1777024965382000000,1777025025410000000,0
VFS.contentStorage.recordsStoredSize,1777024965382000000,1777025025410000000,38945
VFS.invertedFileNameIndex.requests,1777024965382000000,1777025025410000000,0
VFS.fileChildByName,1777024965382000000,1777025025410000000,408
VFS.contentStorage.recordsStoredCompressed,1777024965382000000,1777025025410000000,0
